mRNA_size	ORF_size	Fickett_score	Hexamer_score	coding_prob
1000::CHR1:14611-186248(MSTRG.525.2)	171637	1797	0.8792	0.0570690417838	0.998057824018125
1000::CHR1:14618-15892(MSTRG.525.3)	1274	309	0.9554	-0.0675863850289	0.173931622572388
1000::CHR1:16112-29353(MSTRG.525.4)	13241	402	0.5102	0.0148944693948	0.0990452980165111
1000::CHR1:16854-29360(MSTRG.525.5)	12506	402	0.5102	0.0148944693948	0.102700133322106
1000::CHR1:184923-199878(MSTRG.541.1)	14955	738	0.5909	0.0118455389939	0.847733277533356
1000::CHR1:185056-199942(MSTRG.541.2)	14886	738	0.5909	0.0118455389939	0.848220997112234
1000::CHR1:185079-199868(MSTRG.541.3)	14789	738	0.5909	0.0118455389939	0.848904461985334
1000::CHR1:492571-502598(MSTRG.546.10)	10027	408	0.6897	-0.122245458287	0.101747309008855
1000::CHR1:962727-965711(MSTRG.551.3)	2984	816	0.7714	0.187153022476	0.992839544270706
1000::CHR1:962727-965711(MSTRG.551.4)	2984	816	0.7714	0.187153022476	0.992839544270706
1000::CHR1:996075-998788(MSTRG.552.2)	2713	639	0.9618	0.0949066761803	0.955347983586776
1000::CHR1:941076-944153(MSTRG.560.13)	3077	501	1.0456	0.0711195759669	0.83805476107479
1000::CHR1:944204-959256(MSTRG.561.2)	15052	711	0.6009	0.0112532663016	0.808519727406125
1000::CHR1:1020225-1055992(MSTRG.564.3)	35767	1266	0.6449	0.154650902971	0.99946658635329
1000::CHR1:1216932-1232001(MSTRG.565.4)	15069	885	0.5728	-0.0352435314792	0.952895969954884
1000::CHR1:1216934-1232001(MSTRG.565.6)	15067	885	0.5728	-0.0352435314792	0.952900891940604
1000::CHR1:1082700-1116087(MSTRG.567.10)	33387	1134	0.4383	0.111862958848	0.994608643592596
1000::CHR1:1255268-1273471(MSTRG.569.9)	18203	975	0.6539	0.0834854454408	0.992172509105582
1000::CHR1:1257011-1273471(MSTRG.569.15)	16460	975	0.6539	0.0834854454408	0.992880875222049
1000::CHR1:1279582-1280198(MSTRG.571.1)	616	156	0.6465	-0.0740214733259	0.0128998903755013
1000::CHR1:589815-634227(MSTRG.575.1)	44412	1554	0.4504	0.136067236055	0.999925191852703
1000::CHR1:617987-634216(MSTRG.575.2)	16229	543	1.1447	-0.216948423547	0.496527775075507
1000::CHR1:593684-631006(MSTRG.576.1)	37322	1554	0.4504	0.136067236055	0.999949286247017
1000::CHR1:626515-634922(MSTRG.577.1)	8407	543	1.1447	-0.216948423547	0.602286448205715
1000::CHR1:626515-630683(MSTRG.577.2)	4168	348	1.1764	-0.15063141005	0.264543076430446
1000::CHR1:626515-632616(MSTRG.577.3)	6101	543	1.1447	-0.216948423547	0.632147813713728
1000::CHR1:629582-630637(MSTRG.577.4)	1055	348	1.1764	-0.15063141005	0.299055800087535
